Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
317,317,317,2.0094973041866617,18.123023555466467,1.00474865,0.03850818,0.5
261,261,261,2.009902764687323,18.128262747992583,1.00495138,0.03850818,0.5
842,842,842,2.0101864752954324,18.13192811039876,1.00509324,0.03850818,0.5
841,841,841,2.0105764008296174,18.136964858779322,1.0052882,0.03850818,0.5
173,173,173,2.0110896757367773,18.143593447406875,1.00554484,0.03850818,0.5
636,636,636,2.01127847529353,18.146031236856274,1.00563924,0.03850818,0.5
132,132,132,2.011804371733458,18.15282043207961,1.00590219,0.03850818,0.5
532,532,532,2.012135111234296,18.157089289667567,1.00606756,0.03850818,0.5
286,286,286,2.0153448559442517,18.19848108219618,1.00767243,0.03850818,0.5
371,371,371,2.017335870195601,18.22412341922904,1.00866794,0.03850818,0.5
927,927,927,2.018432939526086,18.23824179851775,1.00921647,0.03850818,0.5
906,906,906,2.018638140643099,18.240881716076277,1.00931907,0.03850818,0.5
624,624,624,2.0187606657733403,18.24245787702229,1.00938033,0.03850818,0.5
96,96,96,2.0197943570959196,18.255751455860416,1.00989718,0.03850818,0.5
159,159,159,2.020059283028476,18.259157387137414,1.01002964,0.03850818,0.5
124,124,124,2.0204151444929694,18.263731697630355,1.01020757,0.03850818,0.5
313,313,313,2.020835011311715,18.269127709067,1.01041751,0.03850818,0.5
30,30,30,2.02166413495564,18.279780083141354,1.01083207,0.03850818,0.5
602,602,602,2.021974483802678,18.28376624419176,1.01098724,0.03850818,0.5
326,326,326,2.022713595027476,18.29325702202968,1.0113568,0.03850818,0.5
263,263,263,2.0239542939293527,18.309180791732164,1.01197715,0.03850818,0.5
363,363,363,2.0245466076349947,18.316779409249005,1.0122733,0.03850818,0.5
499,499,499,2.0249929557256245,18.322504008329517,1.01249648,0.03850818,0.5
813,813,813,2.0261356102810804,18.337153278227685,1.01306781,0.03850818,0.5
1,1,1,2.0264249159515657,18.34086097728566,1.01321246,0.03850818,0.5
893,893,893,2.0275960230192625,18.35586430744319,1.01379801,0.03850818,0.5
908,908,908,2.0284967885718315,18.36739833360759,1.01424839,0.03850818,0.5
205,205,205,2.0287678433493848,18.370868104278216,1.01438392,0.03850818,0.5
255,255,255,2.0295212803068305,18.380510411835402,1.01476064,0.03850818,0.5
300,300,300,2.030026609504914,18.38697548978477,1.0150133,0.03850818,0.5
897,897,897,2.0305294641354035,18.393407311289238,1.01526473,0.03850818,0.5
168,168,168,2.030725974988494,18.395920373704886,1.01536299,0.03850818,0.5
156,156,156,2.031073816374491,18.400368117686742,1.01553691,0.03850818,0.5
942,942,942,2.0312941774958535,18.403185415459934,1.01564709,0.03850818,0.5
697,697,697,2.0332728865736565,18.428469354034245,1.01663644,0.03850818,0.5
362,362,362,2.0347717760441206,18.447605785561123,1.01738589,0.03850818,0.5
271,271,271,2.0368566134875037,18.47419963111053,1.01842831,0.03850818,0.5
386,386,386,2.038589161937852,18.496279034554046,1.01929458,0.03850818,0.5
806,806,806,2.038760515739344,18.498461728405736,1.01938026,0.03850818,0.5
206,206,206,2.0393172865242386,18.505552573110478,1.01965864,0.03850818,0.5
729,729,729,2.039369876061243,18.50622223562782,1.01968494,0.03850818,0.5
971,971,971,2.039502291043569,18.507908299691845,1.01975115,0.03850818,0.5
879,879,879,2.0399424812502462,18.513512534969145,1.01997124,0.03850818,0.5
530,530,530,2.040351402674262,18.518717591627997,1.0201757,0.03850818,0.5
294,294,294,2.041371282698142,18.531694840668283,1.02068564,0.03850818,0.5
946,946,946,2.0423489067618323,18.544128327930334,1.02117445,0.03850818,0.5
657,657,657,2.0439553652202003,18.56454645301137,1.02197768,0.03850818,0.5
852,852,852,2.0446336365014632,18.573162479324385,1.02231682,0.03850818,0.5
108,108,108,2.0450581451435874,18.578553524840135,1.02252907,0.03850818,0.5
264,264,264,2.0460191214628374,18.590753306313907,1.02300956,0.03850818,0.5
329,329,329,2.0471910705940233,18.605623676023203,1.02359554,0.03850818,0.5
49,49,49,2.0475864767079868,18.610638897401575,1.02379324,0.03850818,0.5
876,876,876,2.047782601693826,18.61312613296289,1.0238913,0.03850818,0.5
467,467,467,2.0502153194047628,18.643957804735958,1.02510766,0.03850818,0.5
637,637,637,2.0507278682105103,18.650449057418655,1.02536393,0.03850818,0.5
947,947,947,2.050849643756121,18.651991063905328,1.02542482,0.03850818,0.5
