Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
31,31,31,1.3090914793115958,6.99418649401544,0.65454574,0.03850818,0.5
31,68,31,1.3090914793115958,6.99418649401544,0.65454574,0.03850818,0.5
16,16,16,1.3108240700773384,7.0285332564298235,0.65541204,0.03850818,0.5
16,69,16,1.3108240700773384,7.0285332564298235,0.65541204,0.03850818,0.5
2,2,2,1.410562239549738,8.932865844656742,0.70528112,0.03850818,0.5
2,70,2,1.410562239549738,8.932865844656742,0.70528112,0.03850818,0.5
29,29,29,1.511462841085031,10.727019200247277,0.75573142,0.03850818,0.5
29,71,29,1.511462841085031,10.727019200247277,0.75573142,0.03850818,0.5
2,70,70,0.7560143598295935,10.736739765828226,0.37800718,0.03850818,0.5
2,72,70,0.7560143598295935,10.736739765828226,0.37800718,0.03850818,0.5
33,33,33,0.7804084481299081,11.561423412659218,0.39020422,0.03850818,0.5
33,73,33,0.7804084481299081,11.561423412659218,0.39020422,0.03850818,0.5
15,53,53,0.7997085594420663,12.195832221831422,0.39985428,0.03850818,0.5
15,74,53,0.7997085594420663,12.195832221831422,0.39985428,0.03850818,0.5
13,63,63,0.8036205381529361,12.322554131757158,0.40181027,0.03850818,0.5
13,75,63,0.8036205381529361,12.322554131757158,0.40181027,0.03850818,0.5
34,64,64,0.8159869871351042,12.71912490483377,0.40799349,0.03850818,0.5
34,76,64,0.8159869871351042,12.71912490483377,0.40799349,0.03850818,0.5
22,22,22,1.6818856930153139,13.501433847507574,0.84094285,0.03850818,0.5
22,77,22,1.6818856930153139,13.501433847507574,0.84094285,0.03850818,0.5
42,42,42,1.7007986611151549,13.791822593019784,0.85039933,0.03850818,0.5
42,78,42,1.7007986611151549,13.791822593019784,0.85039933,0.03850818,0.5
39,39,39,1.710287951562799,13.936306392192808,0.85514398,0.03850818,0.5
39,79,39,1.710287951562799,13.936306392192808,0.85514398,0.03850818,0.5
38,62,62,0.8618493609458959,14.139137408661004,0.43092468,0.03850818,0.5
38,80,62,0.8618493609458959,14.139137408661004,0.43092468,0.03850818,0.5
24,24,24,1.7611315426512937,14.697048080646855,0.88056577,0.03850818,0.5
24,81,24,1.7611315426512937,14.697048080646855,0.88056577,0.03850818,0.5
6,6,6,0.8976637569919774,15.196446950302319,0.44883188,0.03850818,0.5
6,82,6,0.8976637569919774,15.196446950302319,0.44883188,0.03850818,0.5
45,45,45,0.918274857980422,15.785963114271727,0.45913743,0.03850818,0.5
45,83,45,0.918274857980422,15.785963114271727,0.45913743,0.03850818,0.5
21,21,21,0.9319486256715243,16.169801986756575,0.46597431,0.03850818,0.5
21,84,21,0.9319486256715243,16.169801986756575,0.46597431,0.03850818,0.5
36,36,36,1.8758983193441197,16.33646934977878,0.93794916,0.03850818,0.5
36,85,36,1.8758983193441197,16.33646934977878,0.93794916,0.03850818,0.5
6,82,82,0.47574069674438246,16.708452291767188,0.23787035,0.03850818,0.5
6,86,82,0.47574069674438246,16.708452291767188,0.23787035,0.03850818,0.5
49,49,49,1.9250562668256812,17.008211060542262,0.96252813,0.03850818,0.5
49,87,49,1.9250562668256812,17.008211060542262,0.96252813,0.03850818,0.5
20,20,20,1.925427649552337,17.013220434202132,0.96271382,0.03850818,0.5
20,88,20,1.925427649552337,17.013220434202132,0.96271382,0.03850818,0.5
19,19,19,1.9572047869128602,17.438304895518986,0.97860239,0.03850818,0.5
19,89,19,1.9572047869128602,17.438304895518986,0.97860239,0.03850818,0.5
27,57,57,0.988708664211727,17.705112839533495,0.49435433,0.03850818,0.5
27,90,57,0.988708664211727,17.705112839533495,0.49435433,0.03850818,0.5
38,80,80,0.4944853258880017,17.7119930519728,0.24724266,0.03850818,0.5
38,91,80,0.4944853258880017,17.7119930519728,0.24724266,0.03850818,0.5
13,13,13,0.9904624181161763,17.751134519440146,0.49523121,0.03850818,0.5
13,92,13,0.9904624181161763,17.751134519440146,0.49523121,0.03850818,0.5
1,1,1,1.9845142642157303,17.79814677821856,0.99225713,0.03850818,0.5
1,93,1,1.9845142642157303,17.79814677821856,0.99225713,0.03850818,0.5
41,41,41,2.0024341680822073,18.031586642085756,1.00121708,0.03850818,0.5
41,94,41,2.0024341680822073,18.031586642085756,1.00121708,0.03850818,0.5
0,0,0,2.019675109689738,18.254218245831748,1.00983755,0.03850818,0.5
0,95,0,2.019675109689738,18.254218245831748,1.00983755,0.03850818,0.5
22,22,22,1.0329692292608077,18.842351020791416,0.51648461,0.03850818,0.5
22,96,22,1.0329692292608077,18.842351020791416,0.51648461,0.03850818,0.5
19,19,19,1.03560653400344,18.908567511235837,0.51780327,0.03850818,0.5
19,97,19,1.03560653400344,18.908567511235837,0.51780327,0.03850818,0.5
1,93,93,1.049578687668558,19.25658595023802,0.52478934,0.03850818,0.5
1,98,93,1.049578687668558,19.25658595023802,0.52478934,0.03850818,0.5
28,28,28,1.0595071603049901,19.501080078383858,0.52975358,0.03850818,0.5
28,99,28,1.0595071603049901,19.501080078383858,0.52975358,0.03850818,0.5
13,75,75,0.5420669981955465,20.097775465167366,0.2710335,0.03850818,0.5
13,100,75,0.5420669981955465,20.097775465167366,0.2710335,0.03850818,0.5
47,47,47,2.182903909598501,20.27247524946975,1.09145195,0.03850818,0.5
47,101,47,2.182903909598501,20.27247524946975,1.09145195,0.03850818,0.5
28,28,28,0.5534601133759683,20.637922573494116,0.27673006,0.03850818,0.5
28,102,28,0.5534601133759683,20.637922573494116,0.27673006,0.03850818,0.5
34,64,64,0.5535493190931476,20.642107794615733,0.27677466,0.03850818,0.5
34,103,64,0.5535493190931476,20.642107794615733,0.27677466,0.03850818,0.5
35,35,35,2.2159447612555128,20.66259453382694,1.10797238,0.03850818,0.5
35,104,35,2.2159447612555128,20.66259453382694,1.10797238,0.03850818,0.5
49,87,87,1.1369590566231262,21.333245433076954,0.56847953,0.03850818,0.5
49,105,87,1.1369590566231262,21.333245433076954,0.56847953,0.03850818,0.5
34,34,34,1.1377002591301137,21.350169221011434,0.56885013,0.03850818,0.5
34,106,34,1.1377002591301137,21.350169221011434,0.56885013,0.03850818,0.5
26,26,26,2.278295995628661,21.38319348823352,1.139148,0.03850818,0.5
26,107,26,2.278295995628661,21.38319348823352,1.139148,0.03850818,0.5
36,85,85,1.1422522863159408,21.45386394408851,0.57112614,0.03850818,0.5
36,108,85,1.1422522863159408,21.45386394408851,0.57112614,0.03850818,0.5
18,60,60,1.1513942896470175,21.66087532180467,0.57569714,0.03850818,0.5
18,109,60,1.1513942896470175,21.66087532180467,0.57569714,0.03850818,0.5
42,78,78,1.192719380520801,22.576583699026777,0.59635969,0.03850818,0.5
42,110,78,1.192719380520801,22.576583699026777,0.59635969,0.03850818,0.5
26,26,26,1.193055179131944,22.583893853174327,0.59652759,0.03850818,0.5
26,111,26,1.193055179131944,22.583893853174327,0.59652759,0.03850818,0.5
32,32,32,2.394879669736547,22.679157057310597,1.19743983,0.03850818,0.5
32,112,32,2.394879669736547,22.679157057310597,1.19743983,0.03850818,0.5
27,57,57,0.6059969632510299,22.99288444650673,0.30299848,0.03850818,0.5
27,113,57,0.6059969632510299,22.99288444650673,0.30299848,0.03850818,0.5
43,43,43,1.213002836603668,23.01449263561079,0.60650142,0.03850818,0.5
43,114,43,1.213002836603668,23.01449263561079,0.60650142,0.03850818,0.5
2,2,2,1.2152014039998895,23.06151795224578,0.6076007,0.03850818,0.5
2,115,2,1.2152014039998895,23.06151795224578,0.6076007,0.03850818,0.5
36,36,36,1.22753694102638,23.323795939890946,0.61376847,0.03850818,0.5
36,116,36,1.22753694102638,23.323795939890946,0.61376847,0.03850818,0.5
36,85,85,0.6147164861664411,23.36387548571263,0.30735824,0.03850818,0.5
36,117,85,0.6147164861664411,23.36387548571263,0.30735824,0.03850818,0.5
25,25,25,1.2396167942291216,23.57809570235021,0.6198084,0.03850818,0.5
25,118,25,1.2396167942291216,23.57809570235021,0.6198084,0.03850818,0.5
19,97,97,0.6199141157648613,23.5825246868745,0.30995706,0.03850818,0.5
19,119,97,0.6199141157648613,23.5825246868745,0.30995706,0.03850818,0.5
5,5,5,2.4885906792331163,23.675921223747586,1.24429534,0.03850818,0.5
5,120,5,2.4885906792331163,23.675921223747586,1.24429534,0.03850818,0.5
8,8,8,2.5253043945332982,24.05623135632454,1.2626522,0.03850818,0.5
8,121,8,2.5253043945332982,24.05623135632454,1.2626522,0.03850818,0.5
45,83,83,0.6365699627370993,24.27103779335454,0.31828498,0.03850818,0.5
45,122,83,0.6365699627370993,24.27103779335454,0.31828498,0.03850818,0.5
27,27,27,1.277245724923372,24.35464992406846,0.63862286,0.03850818,0.5
27,123,27,1.277245724923372,24.35464992406846,0.63862286,0.03850818,0.5
27,90,90,0.6409092221592528,24.447454817759905,0.32045461,0.03850818,0.5
27,124,90,0.6409092221592528,24.447454817759905,0.32045461,0.03850818,0.5
40,40,40,2.563729741040717,24.448395354615144,1.28186487,0.03850818,0.5
40,125,40,2.563729741040717,24.448395354615144,1.28186487,0.03850818,0.5
34,34,34,0.6452537048076048,24.622891647765147,0.32262685,0.03850818,0.5
34,126,34,0.6452537048076048,24.622891647765147,0.32262685,0.03850818,0.5
42,110,110,0.6467427423214498,24.682749558166023,0.32337137,0.03850818,0.5
42,127,110,0.6467427423214498,24.682749558166023,0.32337137,0.03850818,0.5
13,63,63,0.6557721222403704,25.04279659014454,0.32788606,0.03850818,0.5
13,128,63,0.6557721222403704,25.04279659014454,0.32788606,0.03850818,0.5
25,67,67,1.3176997580877419,25.164390335786713,0.65884988,0.03850818,0.5
25,129,67,1.3176997580877419,25.164390335786713,0.65884988,0.03850818,0.5
16,16,16,1.322712247961451,25.26298635274759,0.66135612,0.03850818,0.5
16,130,16,1.322712247961451,25.26298635274759,0.66135612,0.03850818,0.5
39,39,39,1.3349351024904177,25.501852932978743,0.66746755,0.03850818,0.5
39,131,39,1.3349351024904177,25.501852932978743,0.66746755,0.03850818,0.5
42,127,127,0.3378035981930285,25.81661880959655,0.1689018,0.03850818,0.5
42,132,127,0.3378035981930285,25.81661880959655,0.1689018,0.03850818,0.5
39,39,39,0.6761109001245807,25.83597260323272,0.33805545,0.03850818,0.5
39,133,39,0.6761109001245807,25.83597260323272,0.33805545,0.03850818,0.5
39,79,79,1.356875359616994,25.925187657645495,0.67843768,0.03850818,0.5
39,134,79,1.356875359616994,25.925187657645495,0.67843768,0.03850818,0.5
24,81,81,1.3705347659727747,26.185300651263315,0.68526738,0.03850818,0.5
24,135,81,1.3705347659727747,26.185300651263315,0.68526738,0.03850818,0.5
21,56,56,1.3851712559295815,26.46115839352921,0.69258563,0.03850818,0.5
21,136,56,1.3851712559295815,26.46115839352921,0.69258563,0.03850818,0.5
12,12,12,2.7866913824130597,26.61395826968289,1.39334569,0.03850818,0.5
12,137,12,2.7866913824130597,26.61395826968289,1.39334569,0.03850818,0.5
12,12,12,1.3955437379944267,26.65489213592434,0.69777187,0.03850818,0.5
12,138,12,1.3955437379944267,26.65489213592434,0.69777187,0.03850818,0.5
9,9,9,2.8216055828363684,26.93729403719822,1.41080279,0.03850818,0.5
9,139,9,2.8216055828363684,26.93729403719822,1.41080279,0.03850818,0.5
39,131,131,0.708920788243933,27.066534138926365,0.35446039,0.03850818,0.5
39,140,131,0.708920788243933,27.066534138926365,0.35446039,0.03850818,0.5
3,3,3,2.856226740226483,27.25398920853874,1.42811337,0.03850818,0.5
3,141,3,2.856226740226483,27.25398920853874,1.42811337,0.03850818,0.5
44,44,44,2.858538182399168,27.274996096823017,1.42926909,0.03850818,0.5
44,142,44,2.858538182399168,27.274996096823017,1.42926909,0.03850818,0.5
0,0,0,1.4297890745987458,27.28444200092815,0.71489454,0.03850818,0.5
0,143,0,1.4297890745987458,27.28444200092815,0.71489454,0.03850818,0.5
8,121,121,1.433935266107837,27.35963813096098,0.71696763,0.03850818,0.5
8,144,121,1.433935266107837,27.35963813096098,0.71696763,0.03850818,0.5
16,69,69,1.4387876537464641,27.44736632741116,0.71939383,0.03850818,0.5
16,145,69,1.4387876537464641,27.44736632741116,0.71939383,0.03850818,0.5
14,14,14,2.98634545057925,28.41085910382153,1.49317273,0.03850818,0.5
14,146,14,2.98634545057925,28.41085910382153,1.49317273,0.03850818,0.5
26,26,26,0.749672550990333,28.517984719724737,0.37483628,0.03850818,0.5
26,147,26,0.749672550990333,28.517984719724737,0.37483628,0.03850818,0.5
22,77,77,1.51737458695198,28.828391053053103,0.75868729,0.03850818,0.5
22,148,77,1.51737458695198,28.828391053053103,0.75868729,0.03850818,0.5
38,38,38,1.522052229719273,28.908321592361755,0.76102611,0.03850818,0.5
38,149,38,1.522052229719273,28.908321592361755,0.76102611,0.03850818,0.5
33,61,61,1.5699453789739473,29.7128585918903,0.78497269,0.03850818,0.5
33,150,61,1.5699453789739473,29.7128585918903,0.78497269,0.03850818,0.5
35,104,104,1.5701225973259687,29.715789800205982,0.7850613,0.03850818,0.5
35,151,104,1.5701225973259687,29.715789800205982,0.7850613,0.03850818,0.5
13,92,92,0.7850652894931363,29.715921809836832,0.39253264,0.03850818,0.5
13,152,92,0.7850652894931363,29.715921809836832,0.39253264,0.03850818,0.5
34,106,106,0.7859737965959155,29.74595617281487,0.3929869,0.03850818,0.5
34,153,106,0.7859737965959155,29.74595617281487,0.3929869,0.03850818,0.5
5,5,5,1.5728802112033347,29.761358416155794,0.78644011,0.03850818,0.5
5,154,5,1.5728802112033347,29.761358416155794,0.78644011,0.03850818,0.5
34,103,103,0.3967815424989311,29.995502778856775,0.19839077,0.03850818,0.5
34,155,103,0.3967815424989311,29.995502778856775,0.19839077,0.03850818,0.5
27,123,123,0.7964038000464493,30.08829618030998,0.3982019,0.03850818,0.5
27,156,123,0.7964038000464493,30.08829618030998,0.3982019,0.03850818,0.5
12,137,137,1.6026254543679712,30.247871331513412,0.80131273,0.03850818,0.5
12,157,137,1.6026254543679712,30.247871331513412,0.80131273,0.03850818,0.5
25,25,25,0.8124604765185669,30.606651676181322,0.40623024,0.03850818,0.5
25,158,25,0.8124604765185669,30.606651676181322,0.40623024,0.03850818,0.5
43,43,43,0.8130872120682082,30.626676175948653,0.40654361,0.03850818,0.5
43,159,43,0.8130872120682082,30.626676175948653,0.40654361,0.03850818,0.5
43,66,66,1.6561964925376824,31.101729219689194,0.82809825,0.03850818,0.5
43,160,66,1.6561964925376824,31.101729219689194,0.82809825,0.03850818,0.5
37,37,37,3.3263970066939974,31.211286571434655,1.6631985,0.03850818,0.5
37,161,37,3.3263970066939974,31.211286571434655,1.6631985,0.03850818,0.5
17,17,17,3.3373875174002188,31.29694583998429,1.66869376,0.03850818,0.5
17,162,17,3.3373875174002188,31.29694583998429,1.66869376,0.03850818,0.5
44,44,44,1.6697004624246394,31.312607619594036,0.83485023,0.03850818,0.5
44,163,44,1.6697004624246394,31.312607619594036,0.83485023,0.03850818,0.5
24,24,24,1.6714146568338015,31.33925445948725,0.83570733,0.03850818,0.5
24,164,24,1.6714146568338015,31.33925445948725,0.83570733,0.03850818,0.5
44,142,142,1.676378809521924,31.41626742229584,0.8381894,0.03850818,0.5
44,165,142,1.676378809521924,31.41626742229584,0.8381894,0.03850818,0.5
48,48,48,3.355536090975714,31.437778937872586,1.67776805,0.03850818,0.5
48,166,48,3.355536090975714,31.437778937872586,1.67776805,0.03850818,0.5
3,141,141,1.683930983875709,31.532994190391683,0.84196549,0.03850818,0.5
3,167,141,1.683930983875709,31.532994190391683,0.84196549,0.03850818,0.5
25,118,118,0.8481424431985463,31.722812764696084,0.42407122,0.03850818,0.5
