Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
1508,1508,1508,2.042630477711125,18.547708261899423,1.02131524,0.03850818,0.5
1710,1710,1710,2.0428436355073547,18.550418052915823,1.02142182,0.03850818,0.5
280,280,280,2.043190027001908,18.55482098838317,1.02159501,0.03850818,0.5
1015,1015,1015,2.0435397335310057,18.559265303671737,1.02176987,0.03850818,0.5
334,334,334,2.043558916025061,18.55950906622583,1.02177946,0.03850818,0.5
83,83,83,2.0442522147060638,18.568317660281537,1.02212611,0.03850818,0.5
716,716,716,2.044257060602779,18.568379218523134,1.02212853,0.03850818,0.5
977,977,977,2.0445200390879292,18.57171965966623,1.02226002,0.03850818,0.5
1298,1298,1298,2.0445452391824723,18.57203973718085,1.02227262,0.03850818,0.5
327,327,327,2.045307458807573,18.581719160968664,1.02265373,0.03850818,0.5
1837,1837,1837,2.0477466815903016,18.61267061596863,1.02387334,0.03850818,0.5
1290,1290,1290,2.0480514041524422,18.616534669310795,1.0240257,0.03850818,0.5
988,988,988,2.0480516830151183,18.616538205182938,1.02402584,0.03850818,0.5
1996,1996,1996,2.048155819964679,18.617858588240345,1.02407791,0.03850818,0.5
726,726,726,2.0483528301393323,18.620356354644137,1.02417642,0.03850818,0.5
747,747,747,2.0487024239899774,18.624788040878595,1.02435121,0.03850818,0.5
3,3,3,2.0493429351869783,18.63290562893507,1.02467147,0.03850818,0.5
260,260,260,2.0494467060702104,18.6342205416443,1.02472335,0.03850818,0.5
92,92,92,2.050060057010342,18.641991140164116,1.02503003,0.03850818,0.5
1687,1687,1687,2.051289018161628,18.657553966551998,1.02564451,0.03850818,0.5
465,465,465,2.051318537930142,18.657927672501263,1.02565927,0.03850818,0.5
1120,1120,1120,2.051430942639735,18.659350612372393,1.02571547,0.03850818,0.5
404,404,404,2.0518237130817414,18.66432211150026,1.02591186,0.03850818,0.5
459,459,459,2.0520934717993473,18.667736036220855,1.02604674,0.03850818,0.5
294,294,294,2.05218079907359,18.668841108206493,1.0260904,0.03850818,0.5
34,34,34,2.0528996580522763,18.67793603216302,1.02644983,0.03850818,0.5
612,612,612,2.0532331485421005,18.68215423541767,1.02661657,0.03850818,0.5
1803,1803,1803,2.0552963152193455,18.708235280221814,1.02764816,0.03850818,0.5
1838,1838,1838,2.0558655043561487,18.7154259455145,1.02793275,0.03850818,0.5
739,739,739,2.0566645052605947,18.725516504745794,1.02833225,0.03850818,0.5
1616,1616,1616,2.0566883659530175,18.725817780452864,1.02834418,0.03850818,0.5
1170,1170,1170,2.056992301887051,18.729655104843197,1.02849615,0.03850818,0.5
1102,1102,1102,2.057205958510473,18.732352273998877,1.02860298,0.03850818,0.5
197,197,197,2.0573129457001205,18.733702758975756,1.02865647,0.03850818,0.5
1933,1933,1933,2.057626188633462,18.737656378811977,1.02881309,0.03850818,0.5
1308,1308,1308,2.057835192893695,18.740294007440816,1.0289176,0.03850818,0.5
391,391,391,2.058508672849158,18.748791485873333,1.02925434,0.03850818,0.5
1904,1904,1904,2.0585325543347475,18.749092753983476,1.02926628,0.03850818,0.5
427,427,427,2.058780547343713,18.752221012128793,1.02939027,0.03850818,0.5
1365,1365,1365,2.0588118626935925,18.75261600654232,1.02940593,0.03850818,0.5
1161,1161,1161,2.058841592165405,18.752990992012275,1.0294208,0.03850818,0.5
1593,1593,1593,2.0590479007017963,18.75559306545595,1.02952395,0.03850818,0.5
1861,1861,1861,2.0590738095849384,18.755919823700303,1.0295369,0.03850818,0.5
1563,1563,1563,2.0591477273630527,18.756852039025546,1.02957386,0.03850818,0.5
1737,1737,1737,2.059836934391395,18.76554237499501,1.02991847,0.03850818,0.5
696,696,696,2.059870356133073,18.765963721851175,1.02993518,0.03850818,0.5
1162,1162,1162,2.060422446925115,18.772922924233864,1.03021122,0.03850818,0.5
1081,1081,1081,2.0605333695323975,18.774320898416104,1.03026668,0.03850818,0.5
593,593,593,2.0605719566670744,18.774807200192857,1.03028598,0.03850818,0.5
899,899,899,2.0612429691176892,18.78326230771003,1.03062148,0.03850818,0.5
715,715,715,2.061303516617208,18.784025102451984,1.03065176,0.03850818,0.5
167,167,167,2.06146987115348,18.786120769206953,1.03073494,0.03850818,0.5
1266,1266,1266,2.061501922844981,18.78652452394332,1.03075096,0.03850818,0.5
565,565,565,2.0619507835178528,18.792178156507354,1.03097539,0.03850818,0.5
