S_b,S_d,gr,cycletime,time
 0.5,1.8968,0.0385,34.6244,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9303,0.0385,35.079,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9275,0.0385,35.0414,18.0
 0.5,1.8378,0.0385,33.8046,18.0
 0.5,1.5748,0.0385,29.7943,18.0
 0.5,1.9219,0.0385,34.9667,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6945,0.0385,31.697,18.0
 0.5,1.7886,0.0385,33.1001,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8862,0.0385,34.4797,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8225,0.0385,33.5872,18.0
 0.5,1.9555,0.0385,35.4158,18.0
 0.5,1.8556,0.0385,34.0551,18.0
 0.5,1.9465,0.0385,35.2961,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7663,0.0385,32.7736,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7869,0.0385,33.0747,18.0
 0.5,1.7877,0.0385,33.0868,18.0
 0.5,1.7247,0.0385,32.1554,18.0
 0.5,1.874,0.0385,34.3115,18.0
 0.5,1.7645,0.0385,32.7472,18.0
 0.5,1.7985,0.0385,33.2435,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7178,0.0385,32.0506,18.0
 0.5,1.9049,0.0385,34.7356,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7158,0.0385,32.0205,18.0
 0.5,1.9695,0.0385,35.6014,18.0
 0.5,1.8806,0.0385,34.4026,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6523,0.0385,31.0416,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8729,0.0385,34.295,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6821,0.0385,31.5057,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7794,0.0385,32.9654,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8394,0.0385,33.8273,18.0
 0.5,1.7539,0.0385,32.5903,18.0
 0.5,1.7827,0.0385,33.014,18.0
 0.5,1.822,0.0385,33.58,18.0
 0.5,1.9279,0.0385,35.0472,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9189,0.0385,34.926,18.0
 0.5,1.8262,0.0385,33.64,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9529,0.0385,35.3821,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9081,0.0385,34.7791,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5529,0.0385,29.4302,18.0
 0.5,1.9053,0.0385,34.7408,18.0
 0.5,1.849,0.0385,33.9623,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7847,0.0385,33.0436,18.0
 0.5,1.8111,0.0385,33.4241,18.0
 0.5,1.8031,0.0385,33.3099,18.0
 0.5,1.8807,0.0385,34.4036,18.0
