Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
48,105,48,1.4882557006874313,10.32520356983267,0.74412785,0.03850818,0.5
10,10,10,1.4988093959066529,10.508704684895134,0.7494047,0.03850818,0.5
10,106,10,1.4988093959066529,10.508704684895134,0.7494047,0.03850818,0.5
19,19,19,1.5630626547827124,11.598760968993332,0.78153133,0.03850818,0.5
19,107,19,1.5630626547827124,11.598760968993332,0.78153133,0.03850818,0.5
37,37,37,1.5643505557880277,11.620149171141355,0.78217528,0.03850818,0.5
37,108,37,1.5643505557880277,11.620149171141355,0.78217528,0.03850818,0.5
24,24,24,1.581511438288955,11.903471823451365,0.79075572,0.03850818,0.5
24,109,24,1.581511438288955,11.903471823451365,0.79075572,0.03850818,0.5
20,20,20,1.5856785864670875,11.971806652622385,0.79283929,0.03850818,0.5
20,110,20,1.5856785864670875,11.971806652622385,0.79283929,0.03850818,0.5
85,85,85,1.5995436189812449,12.197886025801402,0.79977181,0.03850818,0.5
85,111,85,1.5995436189812449,12.197886025801402,0.79977181,0.03850818,0.5
29,29,29,1.6000779346072256,12.206559164775047,0.80003897,0.03850818,0.5
29,112,29,1.6000779346072256,12.206559164775047,0.80003897,0.03850818,0.5
23,23,23,1.6004172231256053,12.212065073786572,0.80020861,0.03850818,0.5
23,113,23,1.6004172231256053,12.212065073786572,0.80020861,0.03850818,0.5
3,3,3,1.6292903652894055,12.676387280953788,0.81464518,0.03850818,0.5
3,114,3,1.6292903652894055,12.676387280953788,0.81464518,0.03850818,0.5
28,28,28,1.6316881969268622,12.714577122840083,0.8158441,0.03850818,0.5
28,115,28,1.6316881969268622,12.714577122840083,0.8158441,0.03850818,0.5
69,69,69,1.6363207208679813,12.788199827859037,0.81816036,0.03850818,0.5
69,116,69,1.6363207208679813,12.788199827859037,0.81816036,0.03850818,0.5
54,54,54,1.6561948900519419,13.101704093329761,0.82809745,0.03850818,0.5
54,117,54,1.6561948900519419,13.101704093329761,0.82809745,0.03850818,0.5
9,9,9,1.6592267952873743,13.149199762404406,0.8296134,0.03850818,0.5
9,118,9,1.6592267952873743,13.149199762404406,0.8296134,0.03850818,0.5
74,74,74,1.6610388487276602,13.177544683525394,0.83051942,0.03850818,0.5
74,119,74,1.6610388487276602,13.177544683525394,0.83051942,0.03850818,0.5
79,79,79,1.670046029536254,13.317981598308581,0.83502301,0.03850818,0.5
79,120,79,1.670046029536254,13.317981598308581,0.83502301,0.03850818,0.5
80,80,80,1.6765332876824508,13.418660308036076,0.83826664,0.03850818,0.5
80,121,80,1.6765332876824508,13.418660308036076,0.83826664,0.03850818,0.5
49,49,49,1.692932115815581,13.67143423851382,0.84646606,0.03850818,0.5
49,122,49,1.692932115815581,13.67143423851382,0.84646606,0.03850818,0.5
86,86,86,1.7028268967744578,13.822772099557588,0.85141345,0.03850818,0.5
86,123,86,1.7028268967744578,13.822772099557588,0.85141345,0.03850818,0.5
25,25,25,1.7080343941677536,13.902066474498165,0.8540172,0.03850818,0.5
25,124,25,1.7080343941677536,13.902066474498165,0.8540172,0.03850818,0.5
91,91,91,1.713167033657597,13.979984776887488,0.85658352,0.03850818,0.5
91,125,91,1.713167033657597,13.979984776887488,0.85658352,0.03850818,0.5
2,2,2,1.7217485834527788,14.109740821274695,0.86087429,0.03850818,0.5
2,126,2,1.7217485834527788,14.109740821274695,0.86087429,0.03850818,0.5
95,95,95,1.7406109302523098,14.392687695712457,0.87030547,0.03850818,0.5
95,127,95,1.7406109302523098,14.392687695712457,0.87030547,0.03850818,0.5
52,52,52,1.7877621079714336,15.086785937078131,0.89388105,0.03850818,0.5
52,128,52,1.7877621079714336,15.086785937078131,0.89388105,0.03850818,0.5
18,18,18,1.7950497703533725,15.192429217403573,0.89752489,0.03850818,0.5
18,129,18,1.7950497703533725,15.192429217403573,0.89752489,0.03850818,0.5
89,89,89,1.8015531814536854,15.28634232780501,0.90077659,0.03850818,0.5
89,130,89,1.8015531814536854,15.28634232780501,0.90077659,0.03850818,0.5
13,13,13,1.8079679810306102,15.378644303364922,0.90398399,0.03850818,0.5
13,131,13,1.8079679810306102,15.378644303364922,0.90398399,0.03850818,0.5
26,26,26,1.8103255849912654,15.412485378618003,0.90516279,0.03850818,0.5
26,132,26,1.8103255849912654,15.412485378618003,0.90516279,0.03850818,0.5
73,73,73,1.8127510965358755,15.447255237239803,0.90637555,0.03850818,0.5
73,133,73,1.8127510965358755,15.447255237239803,0.90637555,0.03850818,0.5
88,88,88,1.8185040976500622,15.529539179405708,0.90925205,0.03850818,0.5
88,134,88,1.8185040976500622,15.529539179405708,0.90925205,0.03850818,0.5
76,76,76,1.8459596485870537,15.918678306061107,0.92297982,0.03850818,0.5
76,135,76,1.8459596485870537,15.918678306061107,0.92297982,0.03850818,0.5
14,14,14,1.8480640337480176,15.948265422580182,0.92403202,0.03850818,0.5
14,136,14,1.8480640337480176,15.948265422580182,0.92403202,0.03850818,0.5
22,22,22,1.8484847562400595,15.954176631775217,0.92424238,0.03850818,0.5
22,137,22,1.8484847562400595,15.954176631775217,0.92424238,0.03850818,0.5
90,90,90,1.849423240098912,15.96735761340674,0.92471162,0.03850818,0.5
90,138,90,1.849423240098912,15.96735761340674,0.92471162,0.03850818,0.5
84,84,84,1.8643348969712217,16.17589871292262,0.93216745,0.03850818,0.5
84,139,84,1.8643348969712217,16.17589871292262,0.93216745,0.03850818,0.5
33,33,33,1.8686226307742702,16.235554419925432,0.93431132,0.03850818,0.5
33,140,33,1.8686226307742702,16.235554419925432,0.93431132,0.03850818,0.5
75,75,75,1.8711516514254336,16.270676812341062,0.93557583,0.03850818,0.5
