Time,Type,MeanSz,ErrorMeanSz,CV2Sz,ErrorCV2Sz,MeanProt,ErrorMeanProt,CV2Prot,ErrorCV2Prot,MeanRNA,ErrorMeanRNA,CV2RNA,ErrorCV2RNA
0.0,Single Lineage,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
1.8,Single Lineage,1.0717734599999997,0.0,0.0,0.0,506.0740346434718,0.18214722768249203,0.0002517726434934152,8.235350392193021e-06,6.682699103088173,0.045732611804369494,0.08932510413383926,0.003149568813446732
3.6,Single Lineage,1.148580263810648,0.00017230475099994091,5.174999648271518e-05,7.499999193973058e-05,520.918196143807,0.4370706054161815,0.0013808198750226623,4.4929936112304294e-05,7.78606520335662,0.05591546198903208,0.09374763448743412,0.003276185454286283
5.4,Single Lineage,1.23089904292108,0.0002462288800000323,0.0001023999863604161,9.999998236203772e-05,540.752017611074,0.6806211394203956,0.003169918717520939,0.00010841199580788048,8.495585004255902,0.05808010658963614,0.0873681799919421,0.0029108459439674828
7.2,Single Lineage,1.3176327573233102,0.0007917047400001209,0.0007063482886326409,0.00029999811562110015,563.3271844737275,0.9387112623945768,0.005045264101161079,0.0001611952679472571,9.028192875149578,0.05988217086769421,0.07906905208703398,0.002525888258733601
9.0,Single Lineage,1.4073001770119402,0.0016970562720000082,0.002454586652348163,0.0005499591689750801,587.2861699805828,1.1594378829946663,0.00681544876221575,0.0002265357065809495,9.339942117713655,0.057562026022201174,0.07572480301765303,0.0024616797777062688
10.8,Single Lineage,1.4863442562544702,0.0034861481339999445,0.009659491538139239,0.0010986989634718374,611.2441525767236,1.3118248463360942,0.008293498084495844,0.00026429829641008967,9.56216037817828,0.05840471728443397,0.06891586295356594,0.0022828465892331534
12.6,Single Lineage,1.54025147409008,0.005685766729999875,0.025889771555500325,0.0017583242599327371,634.8460051587191,1.4205330001313428,0.009416528299088412,0.0003004665361060867,9.710781941338137,0.05777452777989378,0.06780583115278546,0.0023445835199925394
14.4,Single Lineage,1.55793380786972,0.008448693281850161,0.05183410136965122,0.002244796147544359,657.6694574340723,1.6203713340692047,0.010233945138677465,0.0003508856046301311,9.796111136340656,0.05786280733572724,0.06864583095456685,0.0024804132395104816
16.2,Single Lineage,1.5268051080797078,0.009988118157949977,0.08625354588541745,0.002240265146042787,679.503002067068,1.64513125381103,0.0108935969918926,0.00036850110346579087,9.859297409831626,0.06062486104427478,0.07346874787512797,0.0027708063779430803
18.0,Single Lineage,1.4587981999999997,0.011552500000000077,0.11675257186648895,0.0013942394098711217,700.2334669160693,1.6801483869693925,0.011406062921147672,0.0003835414553849184,9.915229670839318,0.06545500013271166,0.07770162836023843,0.002770347910458021
19.8,Single Lineage,1.3815441804733017,0.011095534847599953,0.12371283869143752,0.0006940738068974342,719.8745201914651,1.7605988591787423,0.011903952775613664,0.00039366808002387274,9.927391999298237,0.06450990087330322,0.08095536814177029,0.002740211532757199
21.6,Single Lineage,1.3415453916477982,0.00993624080919997,0.10273345180531587,0.0026497820644977993,738.1042871478336,1.9078671032419834,0.012367745648081319,0.0004180684335064449,9.90752328636953,0.06669505212205351,0.08306438113347576,0.0031242138460749747
23.4,Single Lineage,1.330922017103044,0.007943959368999942,0.0665627765058685,0.003844810922848066,754.9903293318865,1.9477751812496535,0.012689247622422711,0.00044045637300773027,9.909446407903069,0.0658289929182887,0.07753381508617894,0.0026909764197555266
25.2,Single Lineage,1.3578664008530763,0.006139010554550128,0.03481393263665945,0.0036478954485976225,770.9824671065489,1.9871214633135423,0.012860304040847996,0.0004425707030128569,9.955357016040518,0.05934977906811323,0.07340020873476588,0.0024911345148244807
27.0,Single Lineage,1.412948263127868,0.004599729603899982,0.019924143831301852,0.0026281973120816683,786.1046956527,2.1284010978750985,0.01295176070362409,0.0004752801331266371,9.95549062657564,0.06440151587247556,0.07370139617641273,0.0026508018780389137
28.8,Single Lineage,1.4681215535992,0.005001864684800017,0.021424616898708473,0.002089700253977594,799.9867180739634,2.136464042015575,0.013106631201977754,0.0004653228824380174,9.915888972594521,0.06471856209443239,0.07278555445016523,0.0025032095988110972
30.6,Single Lineage,1.5123918669227678,0.006908206580649945,0.03504668248839537,0.0020285522165234687,812.8750272469468,2.1434714221321656,0.013128783869425658,0.0004414255845715514,9.907395277505056,0.05948120332875462,0.07115322177539907,0.0024975200266665054
32.4,Single Lineage,1.5290538150403121,0.008365990977699966,0.05966269394983864,0.0022953914876085307,824.9725227135601,2.123522855426927,0.01305643220924853,0.000451043453543222,9.905144333289776,0.06088675630162843,0.0720902282958925,0.002547418661600853
34.2,Single Lineage,1.5121100250938058,0.010454634652950046,0.08964711843401618,0.0021857009723286955,836.2301630613024,2.130654585519437,0.01288167641355287,0.00045443913022031896,9.932147259026323,0.05993893187644517,0.07563046710457115,0.00281818955594855
36.0,Single Lineage,1.4667450000000002,0.011159999999999948,0.11576553881625162,0.0014772640160563774,847.0341414786417,2.3747503517843143,0.012797930750321011,0.00041836079866945826,10.01619157229452,0.06516500075703568,0.07881578211416514,0.0026742736460562966
37.8,Single Lineage,1.4072266594254736,0.011634101016350096,0.12479207370718005,0.00031998530232661693,857.3840569958597,2.201416739708918,0.012796156932757223,0.00044621130683726584,9.99483693142356,0.06413668718530463,0.08025994545001305,0.0027082520332337157
39.6,Single Lineage,1.367777986359366,0.010570896655850093,0.1094851678354695,0.0022991276063441812,866.8933612757452,2.2206582904580046,0.012819823883291118,0.00043871836857773804,10.005000559691334,0.06331513843609038,0.07780922116891446,0.002913555032776939
41.4,Single Lineage,1.3559868863578601,0.008928874900900108,0.07827600945006007,0.0035229431902559713,875.6409851421781,2.3104043437781456,0.012816883262826154,0.0004081459762434979,9.951041108964368,0.06413138577030697,0.07777058616999225,0.002492215759289179
43.2,Single Lineage,1.3785835987115604,0.00719131809930007,0.049343876698563535,0.0037588393161840407,883.6078931251666,2.388753429381609,0.012815208138457972,0.00043144223471206205,9.972728555416479,0.06366956779689659,0.0734731624767982,0.0023510438031116854
45.0,Single Lineage,1.418448705348132,0.005660389773899932,0.02973687754025971,0.0032638891826817003,891.2616614574309,2.417403612087753,0.012743248740303137,0.00042722644781040525,10.01009715429534,0.0629431078257614,0.07306327360170588,0.002356962106579874
46.8,Single Lineage,1.4695025228997902,0.005532365466300093,0.027072276627065676,0.0028013607986872545,898.4178792148304,2.4792062729196687,0.012572003107285543,0.00043758333416358923,9.956108691804674,0.06186182615020375,0.07138250498017164,0.002380428215681886
48.6,Single Lineage,1.5078478021806119,0.007066595799099962,0.03879633258388734,0.0023869363019343344,904.9819456814951,2.365804963941457,0.012455740747670337,0.00041701205883615516,9.977153645225195,0.06107553404191712,0.06957178339484565,0.002365916049989876
50.4,Single Lineage,1.5226427324106362,0.008792560757099999,0.0626220500072117,0.002484940839742586,911.1971788475632,2.3595110491482956,0.01234433966107561,0.00042427793432421503,9.973484194356534,0.06336794272290724,0.07048135044078524,0.002440679403445306
52.2,Single Lineage,1.5106326606594815,0.010361331354950098,0.09035084774428322,0.0024048777069672206,916.8987426201198,2.3987897278143464,0.012226259686392783,0.00041154471366375636,9.934776752104751,0.06292917314297686,0.07469553286417839,0.002663367980404646
54.0,Single Lineage,1.471841,0.01215250000000001,0.1151812438670745,0.0014864104579789261,922.260301609242,2.424373967118413,0.012116968456763515,0.0003891193322169452,9.99630157466407,0.06395499718513342,0.0766288409097584,0.002792845386566996
55.8,Single Lineage,1.4184349448446938,0.011792187602700066,0.1251686876069537,0.0002837993007281103,927.35069981554,2.350971708959605,0.011993671586457005,0.00039157960754685524,9.983808480849842,0.06721569502261637,0.07676807435851171,0.002805536074778417
57.6,Single Lineage,1.3706902813275441,0.010395720161099908,0.11094571144384656,0.0023037875344204956,932.0817048907272,2.3898443141815164,0.011912238275364341,0.0003840942767938957,10.007210196356144,0.06719562085903341,0.07972944388689773,0.002735981073893022
59.4,Single Lineage,1.3552025242738441,0.008741125366599878,0.07936214942732996,0.003731037728161732,936.7144239933418,2.3990263664440477,0.011863099821746192,0.000401334982152576,9.97158541427965,0.06669810722030611,0.07895682435675302,0.0025126200752793246
61.2,Single Lineage,1.3815275528198463,0.0073925430705999995,0.05211642164219224,0.0038419245222481337,940.9958861627642,2.351421636521593,0.01184090553596485,0.0003750236530434747,10.025817588664555,0.06504318766845607,0.07477745593502502,0.002519265512624061
63.0,Single Lineage,1.416362316083064,0.005660389773900043,0.030382679527363086,0.0032530901327156737,945.1325723713644,2.379097981442442,0.011865942161965733,0.00039166074294928223,10.0457168814195,0.06395603692448848,0.0722225803367148,0.0025031623847098713
